759	5166	9154	5389	4053
141	8774	6280	6045	8419
2097	7881	3664	1613	4469
5840	7511	4463	9021	5616
9513	5243	5919	6183	2573
9307	4834	6597	1228	6071
9939	7900	9227	649	6503
1556	3536	5467	6663	1167
9708	8377	4372	5335	3579
1979	1267	9396	3748	4764
8694	516	5147	6447	4376
4931	615	7056	3933	9801
5291	1202	4388	93	982
9800	9390	2639	6018	7958
9702	8815	9627	9752	7330
5924	6889	6513	4963	1146
3518	2891	1707	6277	9279
5526	5382	7987	5608	4648
5144	932	9195	2907	3976
3252	2340	919	9240	5255
4938	89	4231	722	5236
9406	368	9144	1437	7844
3260	4353	7160	2020	5600
9450	3885	6509	2587	6502
4632	3746	4926	4588	344
7897	3482	1665	709	12
1588	8112	7892	482	181
8148	2353	81	5465	2141
239	1850	20	6625	9205
5320	1151	2850	1670	3815
2873	8602	3117	9937	766
2637	5957	4843	4543	9792
1074	7413	4005	571	1872
3252	1995	9447	5625	3541
3910	8681	6167	744	8031
4937	9483	9617	3861	7354
8548	9043	8435	7525	8814
3910	4465	5720	5157	4513
9074	6380	8320	5234	4573
3743	3870	2612	2584	4516
7894	1189	7977	9552	6714
457	4949	8437	2832	5397
9748	6468	3730	8339	1847
6784	1699	7721	4150	5433
3709	5739	9813	3731	2441
2184	1363	7972	2941	719
6368	7891	7	1128	2345
8220	2764	4305	2762	1535
2053	9764	417	1111	8537
8618	4524	5049	5517	9956
4355	2480	1979	338	152
962	3390	164	1631	5917
3785	5076	8417	2476	6128
770	54	7828	8392	3504
5695	3611	6092	7425	9642
5058	9488	5626	836	3931
6277	6819	4754	1969	7393
1005	8140	124	5760	9590
2675	1337	6085	4232	3034
679	1941	634	1976	5099
3833	6135	1661	5263	787
1833	601	2316	6715	5281
2289	1516	2195	7983	714
4325	9816	615	3247	9666
6671	9893	4368	8463	6828
5489	2806	4951	4558	4078
1451	702	5473	2547	8376
6812	1435	7326	8758	2542
5935	8646	8987	6005	8486
5176	827	1183	6529	6998
7976	6559	8771	5271	1893
4553	8744	1653	4472	6459
2321	2378	8855	7050	2634
8676	6957	4452	5359	1030
2339	4316	3093	6030	2231
2484	7605	5106	8195	3784
2266	2066	3364	6838	3706
2215	6503	9925	2888	3336
9268	1879	1569	2037	6840
7793	8493	8212	2786	9501
159	2970	1246	2622	281
4311	7079	4803	2977	6438
2488	7148	6954	1436	7069
8749	3590	7633	8520	8264
2135	9294	2537	2810	5549
1530	1676	8013	1556	2890
1503	5717	4302	9118	7817
5157	4006	1319	3981	8643
4131	4611	6235	291	6882
1761	8521	889	7655	4002
8245	557	3907	3075	7912
1268	7169	2888	6273	4780
3958	1582	8077	3295	5049
3879	2833	4511	7250	8076
979	9580	421	6537	8559
9995	3899	5903	815	2366
7956	4930	1000	7950	7560
5882	6831	8523	8386	3731
6530	5314	3273	6481	1135
770	5030	2628	23	312
3101	771	7204	2711	7022
9883	6042	8706	8700	1025
6142	8638	7055	2862	8059
6211	7867	3259	5999	9567
1396	7067	4235	5281	5914
314	4953	3580	2949	2364
2424	9677	2052	8994	2911
14	4745	7367	3738	3372
3809	3750	6683	3671	7267
9370	9432	61	5371	3477
9207	1922	8959	7848	2725
1048	6921	3884	5795	6538
8065	6524	4499	8602	2038
9122	4067	2192	6448	8831
603	568	1244	1262	8346
