Rando13017	3510	24375	7374	1399
7051	17865	19082	15038	23164
14824	497	4406	13232	20770
17318	17016	800	15675	12453
2174	17147	18702	12039	6063
11475	5110	19498	17252	3993
108	21832	17351	3105	8773
14080	4330	7943	17839	9195
23722	16116	11926	6324	14436
17506	24195	7890	18358	463
12442	12191	14646	21269	15603
23898	2982	14593	12514	9062
609	22762	1908	4262	21002
16608	13039	24811	16395	18609
4212	1702	3359	4614	19102
7214	19953	23892	9298	17285
3287	7863	5792	9023	12003
9053	39	11553	12076	5044
8034	19570	22785	24339	24880
2105	12459	19455	13724	8172
10903	15736	21596	12874	21041
8707	1773	4028	4688	7016
5159	13770	426	4550	8726
7540	1845	14789	5740	14770
16018	8519	24224	24359	9963
23786	4444	3729	3331	7256
17434	13044	21858	6505	3036
17025	24975	2638	13056	16830
8047	5016	20141	8407	3360
10408	7786	10807	24590	24773
9596	3901	207	7861	17943
15548	5538	10242	8940	595
21749	5696	17881	20854	24497
16954	15153	8464	22088	14307
374	21732	6546	4554	24236
1366	8721	4343	19920	17020
21604	13732	23594	13659	16492
7337	6343	14895	19992	12887
2071	3634	18174	8008	24619
24577	24863	17435	11240	24610
23266	1845	19347	8596	12411
20138	24195	23511	6684	8954
23672	6583	19571	19386	4718
7410	22369	981	16725	17430
289	12887	23955	15159	18439
4698	23622	22953	5400	12116
7292	16729	1962	1809	10875
21526	6155	18921	16753	220
11203	14862	8668	18039	15515
16679	17685	17369	24574	17039
716	21230	10698	13390	4251
16505	7639	23065	17755	8791
17363	9310	20028	1490	7603
10973	16631	11270	21724	1513
19998	16703	5294	11050	22283
21951	23258	19748	24388	18671
24774	21140	18399	6532	21686
1059	398	22000	5662	10289
20411	1214	16062	1672	22737
3936	17771	12407	17121	5209
18165	10411	4706	16526	3047
12055	15300	16608	3024	18114
20425	24175	8701	3387	6547
9856	8288	15473	540	1117
21925	4021	12849	8211	6645
12702	15752	6729	11829	16092
5352	18426	15272	508	5435
